rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
11.6680247871516,0.21647500000000008,344,167.5,0.028499937265223707,1685,10,5
10.396202798842593,0.07,1336,182.3,0.01923048998014565,3666,20,17
9.111587520036117,0.07,2328,187.8,0.0385199813717918,5664,30,30
7.202110039032556,0.07,2648,156.35,0.057829181239867467,6294,40,34
6.5290051690793245,0.07,3368,153.6,0.04846812453615712,7730,50,43
5.835417361896845,0.07,3752,140.63333333333333,0.06754927376459818,8498,60,48
5.225106197260336,0.07,4032,128.44285714285715,0.05845441531710094,9061,70,51
4.6725107814178655,0.07,4232,117.3375,0.07748104007623624,9467,80,54
4.215941843644273,0.07,4336,106.42222222222222,0.11574520237627439,9668,90,55
3.88360819029295,0.07,4496,99.0,0.05849082610802725,10000,100,57
