rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
-16.385344416856448,0.07,696,238.5,7.222154090413824e-05,2395,10,10
-12.249055776197519,0.07,1536,202.75,0.009424054691407946,4075,20,20
-9.170283867876083,0.07,2032,167.86666666666667,0.02815934538921283,5066,30,26
-7.953330249064396,0.07,2568,152.6,0.04694603470488801,6144,40,33
-7.092160113965483,0.07,3216,147.64,0.056178724276833236,7432,50,41
-6.169385604687056,0.07,3528,133.38333333333333,0.01897255801304709,8063,60,45
-5.540996451262605,0.07,3832,122.75714285714285,0.11125523878217791,8663,70,49
-5.131969277828929,0.07,4080,113.5875,0.08333511995442677,9167,80,52
-4.688316707660989,0.07,4256,104.76666666666667,0.05598786370319431,9519,90,54
-4.407425176800508,0.07,4584,100.71,0.09236395687912591,10171,100,58
