rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
17.26465598923513,0.07,856,269.5,0.00010621708861435764,2705,10,12
12.062385284850794,0.07,1824,231.25,0.019344519378137193,4645,20,24
8.510473581870297,0.07,2000,165.63333333333333,0.03856136850299663,4999,30,26
7.296551106020845,0.07,2648,156.3,0.029136539425962837,6292,40,34
6.128962124067507,0.07,2888,134.46,0.04834810360262054,6773,50,37
5.358876040020496,0.07,3128,119.85,0.096878611111606,7251,60,40
4.7636406723085045,0.07,3296,107.57142857142857,0.05818922018806916,7600,70,42
4.389223623962188,0.07,3648,102.6625,0.039201388441142626,8293,80,46
3.9949365893472164,0.07,3776,94.05555555555556,0.09692434458702337,8555,90,48
3.664856043588852,0.07,3896,86.87,0.1157858006627066,8787,100,49
2.02395011829608,0.07,4032,62.57,0.11600812785036396,9062,110,51
1.421338418440299,0.07,4184,46.31,0.10611098937079078,9376,120,53
1.3747355385618782,0.07,4304,45.11,0.12617662380216643,9610,130,55
1.0849240360726389,0.07,4408,34.25,0.17339204996824265,9817,140,56
